Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board
-5636.30528882805,-187500.02235174447,8104.183745882959,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1833572
-5606.845689635956,-187500.02235174447,8112.856222731617,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1882775
-5567.014881016598,-187500.02235174447,8127.4966153498435,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.192315
-5592.719387140201,-187500.02235174447,8110.4645860749,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1962273
-5636.439399294782,-187500.02235174447,8088.872800931073,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2003472
-5599.983704088176,-187500.02235174447,8103.602600527121,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2042646
-5556.353098911417,-187500.02235174447,8119.3382286236565,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2083616
-5597.100329053442,-187500.02235174447,8108.408225585012,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2112548
-5644.173102876318,-187500.02235174447,8110.822213986185,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.216301
-5615.92049788481,-187500.02235174447,8117.572440811688,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2203104
-5557.895369278833,-187500.02235174447,8126.222565915891,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2244155
-5575.463840420704,-187500.02235174447,8122.17690016948,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2284467
-5635.813550450033,-187500.02235174447,8120.65698154652,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2324667
-5627.54340500157,-187500.02235174447,8116.499557077833,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2362404
-5573.094555508442,-187500.02235174447,8126.84841476064,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2393763
-5569.71944209569,-187500.02235174447,8126.490786849355,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2444353
-5615.20524206224,-187500.02235174447,8117.661847789508,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.24839
-5626.984611390187,-187500.02235174447,8115.426673343978,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2523944
-5580.783555601068,-187500.02235174447,8129.418865373,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2563705
-5561.33753792495,-187500.02235174447,8132.70457180793,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2594123
-5603.269410523107,-187500.02235174447,8114.689065776953,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2634432
-5620.59201247597,-187500.02235174447,8098.953437680417,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2674103
-5578.369567199894,-187500.02235174447,8105.569554039187,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2714217
-5566.500790894126,-187500.02235174447,8125.6190688155975,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.2763836
